Mode	Temporalité	Cible	Thème	Sujet	Détail de l’action	Commentaire
Connaître	Avant	Phénomènes	Connaissance	Phénomènes d’inondation ou d’érosion 	Recherche et collecte d’éléments historiques	Témoignages, PHE, photographies, documents…
Connaître	Avant	Phénomènes	Connaissance	Phénomènes d’inondation ou d’érosion 	Collecte / synthèse d’études existantes	
Connaître	Avant	Tous enjeux	Connaissance	Exposition et vulnérabilité	Identification et caractérisation des enjeux et de leur vulnérabilité 	
Connaître	Avant	Enjeux anthropiques	Connaissance	Étude de danger	Identification et caractérisation des ouvrages de protection	Niveaux de protection et zones protégées
Connaître	Avant	Enjeux humains	Connaissance	Populations	Connaissance du niveau de sensibilisation	Pour différents types de publics
Connaître	Avant	Risques	Connaissance	Risques (aléa + enjeux)	Croisement des aléas et des enjeux	Par ex calcul d’indicateurs
Agir	Avant	Enjeux humains	Communication et information	Actions de communication	Organisation d’évènements, diffusion de supports, …	Expositions, ouverture de lieu dédiés à la prévention du risque, mailing, réalisation de spots…
Agir	Avant	Enjeux humains	Communication et information	Actions de communication	Conception de supports de communication	Journaux, sites web, expositions, plaquettes, jeux de rôles, documents de formation…
Agir	Avant	Enjeux humains	Communication et information	Supports de communication ou d’information	Réalisation de documents réglementaires : TIM, DICRIM, IAL	
Agir	Avant	Enjeux humains	Communication et information	Supports de communication ou d’information	Choix et pose de repères de crues	
Connaître	Avant	Phénomènes	Prévision	Ingénierie	Modélisation	 Hydrologique, IA,… avec choix de seuils de vigilance et d’alerte
Agir	Avant	Enjeux anthropiques	Occupation du sol	Porté à connaissance	Établissement	
Agir	Avant	Enjeux anthropiques	Occupation du sol	Maîtrise de l’occupation des zones inondables	Intégration dans la planification (inter-)communale	PLU(i) (zonage règlementaire, règlement, OAP), cartes communales – zones d’interdiction, zones de prescription
Agir	Avant	Enjeux anthropiques	Réduction de la vulnérabilité	Étude de vulnérabilité	Réalisation d’un diagnostic individuel avec accompagnement	Sur bâtiments d’habitation, activités, établissements publics avec constitution de dossier, incitation à la réalisation de travaux)
Agir	Avant	Enjeux anthropiques	Réduction de la vulnérabilité	Mesures de protection collective	Réalisation des travaux	Adaptation des réseaux, acquisition de dispositifs spécifiques permettant la protection des enjeux
Agir	Avant	Enjeux anthropiques	Réduction de la vulnérabilité	Mesures de gestion individuelle	Mise en place des mesures (PFMS par ex)	
Agir	Avant	Phénomènes	Réduction de l’aléa	Étude	Étude de danger	
Agir	Avant	Phénomènes	Réduction de l’aléa	Stratégie de gestion	Mise en place, schéma directeur de gestion des eaux	
Agir	Avant	Phénomènes	Réduction de l’aléa	Maîtrise foncière	Établissement de conventions	
Agir	Avant	Phénomènes	Réduction de l’aléa	Systèmes d’endiguements , aménagements hydrauliques, zones d’expansion des crues	Réalisation de travaux	Inclut destructions d’ouvrages, mise en conformité, travaux de sécurisation
Agir	Avant	Phénomènes	Réduction de l’aléa	Restauration / entretien d’un cours d’eau	Réalisation de travaux	
Connaître	Pendant	Phénomènes	Surveillance	Dispositifs de mesure	Mise en place et entretien de dispositifs de mesure	Station limnimétrique, radar, caméra, observateur, marégraphes, observatoires…
Agir	Pendant	Enjeux humains	Gestion de crise	Planification	Réalisation de PCS (ou PICS), PPMS, PFMS, PCA, ORSEC…	
Agir	Pendant	Enjeux humains	Gestion de crise	Organisation d’actions ciblées	Réalisation d’exercice 	Préparation, réalisation, bilan
Agir	Pendant	Enjeux humains	Gestion de crise	Automates de communication	Mise en place de dispositifs de communication	Via téléphone, courriels, sms, application smartphones, panneaux à messages variables…
Agir	Pendant	Enjeux humains	Gestion de crise	Dispositifs de terrain	Installation d’instrumentation	
Connaître	Après	Toutes	Connaissance	Retour d’expérience après évènement	Collecte des informations de terrain	 PHE, nivellements
Connaître	Après	Toutes	Connaissance	Retour d’expérience après évènement	Prise d’images aériennes 	Avion, satellites, drones
