num_objectif	nom_objectif	num_axe	nom_axe	num_source	nom_source	num_indicateur	nom_indicateur_original	nom_indicateur_reformule	axe_point_de_vue_porteur_papi	gestion_crise	amenagement_territoire	activite_economique	environnement
1	Augmenter la sécurité des populations	1.1	La mise en danger des personnes au sein des bâtiments	S1/1	Mise en péril de la structure des bâtiments dans les zones de fortes vitesses du courant	S1/1	Nombre de personnes dans des bâtiments susceptibles d'être détruits	Population occupant des bâtiments susceptibles d'être détruits	Population	X			
1	Augmenter la sécurité des populations	1.1	La mise en danger des personnes au sein des bâtiments	S1/2	Inondation de bâtiments et risque de rupture des ouvrants dans les zones de montée rapide de l'eau et/ou pouvant comporter une hauteur d'eau importante 	S1/2a	Nombre de personnes occupant des bâtiments de plain-pied fortement inondables	Population occupant des bâtiments de plain-pied fortement inondables	Population	X			
1	Augmenter la sécurité des populations	1.1	La mise en danger des personnes au sein des bâtiments	S1/2	Inondation de bâtiments et risque de rupture des ouvrants dans les zones de montée rapide de l'eau et/ou pouvant comporter une hauteur d'eau importante 	S1/2b	Nombre de personnes occupant des locaux fortement inondables	Population occupant des locaux fortement inondables	Population	X			
1	Augmenter la sécurité des populations	1.1	La mise en danger des personnes au sein des bâtiments	S1/3	Déstabilisation ou inondation d'habitats légers du type tentes, caravanes, camping-cars, habitations légères de loisirs ou mobile-homes, bateaux-logements 	S1/3a	Nombre de personnes occupant une habitation légère de loisirs, un mobile home, un camping-car, une caravane, une tente (hors camping et enjeux gérés) dans les zones d'aléa dangereuses pour une personne	Population occupant des habitations légères fortement inondables	Population	X			
1	Augmenter la sécurité des populations	1.1	La mise en danger des personnes au sein des bâtiments	S1/3	Déstabilisation ou inondation d'habitats légers du type tentes, caravanes, camping-cars, habitations légères de loisirs ou mobile-homes, bateaux-logements 	S1/3b	Nombre de personnes en campings (et autres enjeux similaires gérés) dans des zones d'aléas dangereuses pour une personne	Population en campings fortement inondables	Population	X			
1	Augmenter la sécurité des populations	1.1	La mise en danger des personnes au sein des bâtiments	S1/4	Vulnérabilité des publics de certains établissements dits sensibles 	S1/4	Nombre de personnes dans les établissements sensibles	Population dans les établissements sensibles	Établissements sensibles et/ou utiles à la gestion de crise	X			
1	Augmenter la sécurité des populations	1.1	La mise en danger des personnes au sein des bâtiments	S1/5	Vulnérabilité des établissements de santé 	S1/5	Nombre de personnes dans les établissements de santé vulnérables	Population dans les établissements de santé vulnérables	Établissements sensibles et/ou utiles à la gestion de crise	X			
1	Augmenter la sécurité des populations	1.2	La mise en danger des personnes due aux dysfonctionnements des infrastructures et des réseaux 	S1/6	Présence d'eau et/ou de courant dans les espaces ouverts fréquentés par des piétons ou des véhicules 	S1/6a	Proportion de tampons non verrouillés	Tampons non verrouillés	Eau potable / eaux usées	X			
1	Augmenter la sécurité des populations	1.2	La mise en danger des personnes due aux dysfonctionnements des infrastructures et des réseaux 	S1/6	Présence d'eau et/ou de courant dans les espaces ouverts fréquentés par des piétons ou des véhicules 	S1/6b	Nombre d'itinéraires routiers interceptés par des zones d'aléa dangereuses pour une personne	Itinéraires routiers interceptés par des zones fortement inondables	Transport (routes, voies ferrées...)	X			
1	Augmenter la sécurité des populations	1.2	La mise en danger des personnes due aux dysfonctionnements des infrastructures et des réseaux 	S1/7	Dangerosité des itinéraires d'accès aux habitations 	S1/7	Nombre d'habitants dans des zones accessibles par des axes dangereux	Population habitant dans des zones accessibles par des axes dangereux	Population	X			
1	Augmenter la sécurité des populations	1.2	La mise en danger des personnes due aux dysfonctionnements des infrastructures et des réseaux 	S1/8	Isolement prolongé de quartiers peuplés 	S1/8	Nombre de personnes au sein des zones urbanisées longtemps inaccessibles et n'étant pas organisées pour le maintien sur place	Population au sein des zones urbanisées longtemps inaccessibles et n'étant pas organisées pour le maintien sur place	Population	X			
1	Augmenter la sécurité des populations	1.2	La mise en danger des personnes due aux dysfonctionnements des infrastructures et des réseaux 	S1/9	Difficulté d'évacuation de zones de concentration de population	S1/9	Nombre de personnes dans des zones de concentration	Population dans des zones de concentration	Population	X			
1	Augmenter la sécurité des populations	1.2	La mise en danger des personnes due aux dysfonctionnements des infrastructures et des réseaux 	S1/10	Dangers liés au dysfonctionnement de réseau urbain	S1/10	Nombre de personnes dépendantes en zone de fragilité électrique	Population dépendante en zone de fragilité électrique	Énergie / télécommunications	X			
